Species,Tissue,Site,Metal,Concentration_ug_per_g,SD
Gibbula_ardens,whole_soft_body,Chebba,Hg,0.042,0.018
Gibbula_ardens,whole_soft_body,Zarzis,Hg,0.181,0.02
Gibbula_ardens,whole_soft_body,Chebba,Pb,0.633,0.107
Gibbula_ardens,whole_soft_body,Djerba_Island,Pb,2.543,0.527
Gibbula_ardens,whole_soft_body,Chebba,Cd,0.244,0.067
Gibbula_ardens,whole_soft_body,Djerba_Island,Cd,3.005,0.117
Gibbula_ardens,whole_soft_body,Chebba,Cr,0.041,0.091
Gibbula_ardens,whole_soft_body,Djerba_Island,Cr,1.664,0.246
Patella_caerulea,whole_soft_body,Elbibane_lagoon,Hg,0.031,0.001
Patella_caerulea,whole_soft_body,Louata,Hg,0.679,0.085
Patella_caerulea,whole_soft_body,Elbibane_lagoon,Pb,0.823,0.058
Patella_caerulea,whole_soft_body,Djerba_Island,Pb,2.123,0.708
Patella_caerulea,whole_soft_body,Elbibane_lagoon,Cd,0.8,0.029
Patella_caerulea,whole_soft_body,Gabes,Cd,4.3,0.34
Patella_caerulea,whole_soft_body,Chebba,Cr,0.321,0.011
Patella_caerulea,whole_soft_body,Gabes,Cr,2.171,0.139
Pinctada_radiata,muscle,Chebba,Hg,0.04,0.01
Pinctada_radiata,muscle,Mahres,Hg,0.387,0.013
Pinctada_radiata,muscle,Elbibane_lagoon,Pb,0.722,0.076
Pinctada_radiata,muscle,Djerba_Island,Pb,1.848,0.071
Pinctada_radiata,muscle,Elbibane_lagoon,Cd,0.605,0.025
Pinctada_radiata,muscle,Gabes,Cd,1.065,0.086
Pinctada_radiata,muscle,Kerkennah_Island,Cr,0.335,0.008
Pinctada_radiata,muscle,Gabes,Cr,1.605,0.286
Pinctada_radiata,hepatopancreas,Elbibane_lagoon,Hg,0.044,0.007
Pinctada_radiata,hepatopancreas,Louata,Hg,0.42,0.099
Pinctada_radiata,hepatopancreas,Elbibane_lagoon,Pb,0.86,0.061
Pinctada_radiata,hepatopancreas,Djerba_Island,Pb,2.288,0.279
Pinctada_radiata,hepatopancreas,Elbibane_lagoon,Cd,0.732,0.188
Pinctada_radiata,hepatopancreas,Gabes,Cd,1.295,0.173
Pinctada_radiata,hepatopancreas,Chebba,Cr,0.39,0.021
Pinctada_radiata,hepatopancreas,Zarzis,Cr,2.066,0.222
Pinna_nobilis,mantle,Elbibane_lagoon,Hg,0.027,0.003
Pinna_nobilis,mantle,Louata,Hg,0.312,0.097
Pinna_nobilis,mantle,Elbibane_lagoon,Pb,0.691,0.144
Pinna_nobilis,mantle,Djerba_Island,Pb,1.682,0.135
Pinna_nobilis,mantle,Elbibane_lagoon,Cd,0.666,0.096
Pinna_nobilis,mantle,Djerba_Island,Cd,1.79,0.648
Pinna_nobilis,mantle,Elbibane_lagoon,Cr,0.321,0.03
Pinna_nobilis,mantle,Djerba_Island,Cr,1.627,0.225
Pinna_nobilis,gills,Chebba,Hg,0.026,0.005
Pinna_nobilis,gills,Louata,Hg,0.399,0.039
Pinna_nobilis,gills,Elbibane_lagoon,Pb,0.654,0.076
Pinna_nobilis,gills,Djerba_Island,Pb,1.221,0.226
Pinna_nobilis,gills,Elbibane_lagoon,Cd,0.374,0.068
Pinna_nobilis,gills,Djerba_Island,Cd,1.039,0.146
Pinna_nobilis,gills,Elbibane_lagoon,Cr,0.183,0.064
Pinna_nobilis,gills,Djerba_Island,Cr,0.87,0.101
Pinna_nobilis,muscle,Chebba,Hg,0.041,0.008
Pinna_nobilis,muscle,Kerkennah_Island,Hg,0.169,0.048
Pinna_nobilis,muscle,Elbibane_lagoon,Pb,0.643,0.081
Pinna_nobilis,muscle,Djerba_Island,Pb,1.032,0.166
Pinna_nobilis,muscle,Elbibane_lagoon,Cd,0.312,0.096
Pinna_nobilis,muscle,Djerba_Island,Cd,0.966,0.152
Pinna_nobilis,muscle,Elbibane_lagoon,Cr,0.192,0.01
Pinna_nobilis,muscle,Djerba_Island,Cr,0.604,0.078
Pinna_nobilis,hepatopancreas,Elbibane_lagoon,Hg,0.033,0.01
Pinna_nobilis,hepatopancreas,Louata,Hg,0.285,0.052
Pinna_nobilis,hepatopancreas,Elbibane_lagoon,Pb,0.645,0.134
Pinna_nobilis,hepatopancreas,Djerba_Island,Pb,1.209,0.2
Pinna_nobilis,hepatopancreas,Elbibane_lagoon,Cd,0.674,0.158
Pinna_nobilis,hepatopancreas,Chebba,Cd,1.121,0.091
Pinna_nobilis,hepatopancreas,Elbibane_lagoon,Cr,0.386,0.057
Pinna_nobilis,hepatopancreas,Djerba_Island,Cr,1.687,0.303
